bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1370483,2194508,text,11288,application/pdf,Introduced,https://legiscan.com/RI/text/H8025/id/2194508,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8025.pdf
1370490,2194515,text,121828,application/pdf,Introduced,https://legiscan.com/RI/text/H8026/id/2194515,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8026.pdf
1370486,2194511,text,124210,application/pdf,Introduced,https://legiscan.com/RI/text/H8027/id/2194511,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8027.pdf
1370475,2194500,text,14584,application/pdf,Introduced,https://legiscan.com/RI/text/H8028/id/2194500,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8028.pdf
1370502,2194527,text,124489,application/pdf,Introduced,https://legiscan.com/RI/text/H8029/id/2194527,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8029.pdf
1370489,2194514,text,123214,application/pdf,Introduced,https://legiscan.com/RI/text/H8030/id/2194514,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8030.pdf
1370476,2194501,text,121107,application/pdf,Introduced,https://legiscan.com/RI/text/H8031/id/2194501,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8031.pdf
1370491,2194516,text,122489,application/pdf,Introduced,https://legiscan.com/RI/text/H8032/id/2194516,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8032.pdf
1370487,2194512,text,14910,application/pdf,Introduced,https://legiscan.com/RI/text/H8033/id/2194512,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8033.pdf
1370492,2194517,text,10189,application/pdf,Introduced,https://legiscan.com/RI/text/H8034/id/2194517,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8034.pdf
1370500,2194525,text,118343,application/pdf,Introduced,https://legiscan.com/RI/text/H8035/id/2194525,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8035.pdf
1370726,2194887,text,120637,application/pdf,Introduced,https://legiscan.com/RI/text/H8072/id/2194887,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8072.pdf
1370780,2194989,text,119381,application/pdf,Introduced,https://legiscan.com/RI/text/H8073/id/2194989,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8073.pdf
1370777,2194986,text,122143,application/pdf,Introduced,https://legiscan.com/RI/text/H8074/id/2194986,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8074.pdf
1370775,2194984,text,121673,application/pdf,Introduced,https://legiscan.com/RI/text/H8075/id/2194984,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8075.pdf
1370772,2194981,text,121296,application/pdf,Introduced,https://legiscan.com/RI/text/H8076/id/2194981,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8076.pdf
1373451,2201007,text,16800,application/pdf,Introduced,https://legiscan.com/RI/text/H8106/id/2201007,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8106.pdf
1373479,2201053,text,12251,application/pdf,Introduced,https://legiscan.com/RI/text/H8107/id/2201053,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8107.pdf
1373505,2201079,text,123172,application/pdf,Introduced,https://legiscan.com/RI/text/H8108/id/2201079,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8108.pdf
1373491,2201065,text,10926,application/pdf,Introduced,https://legiscan.com/RI/text/H8109/id/2201065,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8109.pdf
1373484,2201058,text,119940,application/pdf,Introduced,https://legiscan.com/RI/text/H8110/id/2201058,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8110.pdf
1373496,2201070,text,121434,application/pdf,Introduced,https://legiscan.com/RI/text/H8111/id/2201070,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8111.pdf
1373512,2201086,text,125654,application/pdf,Introduced,https://legiscan.com/RI/text/H8112/id/2201086,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8112.pdf
1373596,2201186,text,10803,application/pdf,Introduced,https://legiscan.com/RI/text/H8116/id/2201186,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8116.pdf
1374759,2202932,text,10157,application/pdf,Introduced,https://legiscan.com/RI/text/H8121/id/2202932,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8121.pdf
1374858,2203019,text,18232,application/pdf,Introduced,https://legiscan.com/RI/text/H8124/id/2203019,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H8124.pdf
